time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd,r_0
3.81,246.013982418733,13.8415159192275,249.702671943213,0.630687591122903,-1.2,-0.01,-0.7,379
3.82,246.202017144924,13.8415159192275,249.566350936318,0.630687591122903,-1.2,-0.01,-0.7,379
3.83,246.367344575983,13.8415159192275,249.4283594232,0.630687591122903,-1.2,-0.01,-0.7,379
3.835,246.440454258782,0.756982378060171,249.3587401128,0.630687591122903,-1.2,-0.01,-0.7,379
3.84,246.506697280914,0.756982378060171,249.288706604796,0.630687591122903,-1.2,-0.01,-0.7,379
3.85,246.617585081583,0.756982378060171,249.14740134652,0.630687591122903,-1.2,-0.01,-0.7,379
3.86,246.699169335207,0.756982378060171,249.004452191709,0.630687591122903,-1.2,-0.01,-0.7,379
3.87,246.752094623844,0.756982378060171,248.859867374449,0.630687591122903,-1.2,-0.01,-0.7,379
3.88,246.778005403533,0.756982378060171,248.713654831808,0.630687591122903,-1.2,-0.01,-0.7,379
3.89,246.779165264221,0.756982378060171,248.56582221551,0.630687591122903,-1.2,-0.01,-0.7,379
3.894,246.773273757652,0.756982378060171,248.506237179486,0.630687591122903,-1.2,-0.01,-0.7,379
3.9,246.758165543777,0.756982378060171,248.416376903087,0.630687591122903,-1.2,-0.01,-0.7,379
3.91,246.717708086088,0.756982378060171,248.265326008529,0.630687591122903,-1.2,-0.01,-0.7,379
3.92,246.66044881406,0.756982378060171,248.112676392464,0.630687591122903,-1.2,-0.01,-0.7,379
3.93,246.588891129754,0.756982378060171,247.958434671891,0.630687591122903,-1.2,-0.01,-0.7,379
3.94,246.505318712153,0.756982378060171,247.802607229488,0.630687591122903,-1.2,-0.01,-0.7,379
3.95,246.411758973253,0.756982378060171,247.645200222522,0.630687591122903,-1.2,-0.01,-0.7,379
3.953,246.382013353711,0.756982378060171,247.597670957431,0.630687591122903,-1.2,-0.01,-0.7,379
3.96,246.309969502246,0.756982378060171,247.486219591376,0.630687591122903,-1.2,-0.01,-0.7,379
3.97,246.20144110018,0.756982378060171,247.325671067713,0.630687591122903,-1.2,-0.01,-0.7,379
3.98,246.087412099523,0.756982378060171,247.163560182301,0.630687591122903,-1.2,-0.01,-0.7,379
3.99,245.968889883494,0.756982378060171,246.999892272504,0.630687591122903,-1.2,-0.01,-0.7,379
4,245.846676324165,0.756982378060171,246.83467248947,0.630687591122903,-1.2,-0.01,-0.7,379
4.01,245.721394767707,0.756982378060171,246.667905805018,0.630687591122903,-1.2,-0.01,-0.7,379
4.012,245.696014177061,0.756982378060171,246.634367227275,0.630687591122903,-1.2,-0.01,-0.7,379
4.02,245.593516838413,0.756982378060171,246.499597018246,0.630687591122903,-1.2,-0.01,-0.7,379
4.03,245.463387881966,0.756982378060171,246.329750761868,0.630687591122903,-1.2,-0.01,-0.7,379
4.04,245.331250305415,0.756982378060171,246.158371508299,0.630687591122903,-1.2,-0.01,-0.7,379
4.05,245.197264390976,0.756982378060171,245.985463575496,0.630687591122903,-1.2,-0.01,-0.7,379
4.06,245.061526416306,0.756982378060171,245.81103113256,0.630687591122903,-1.2,-0.01,-0.7,379
4.07,244.924084085917,0.756982378060171,245.635078205126,0.630687591122903,-1.2,-0.01,-0.7,379
